name	domain	country
University of Kwazulu Natal 	http://www.ukzn.ac.za/	ZA
University of Cape Town 	http://www.uct.ac.za/	ZA
Stellenbosch University 	http://www.sun.ac.za/	ZA
Makerere University 	http://mak.ac.ug/	UG
University of the Witwatersrand 	http://www.wits.ac.za/	ZA
University of Pretoria 	http://web.up.ac.za/	ZA
University of the Western Cape 	http://www.uwc.ac.za/	ZA
Obafemi Awolowo University 	http://www.oauife.edu.ng/	NG
Rhodes University 	http://www.ru.ac.za/	ZA
Cairo University 	http://cu.edu.eg/	EG
University of Dar Es Salaam 	http://www.udsm.ac.tz/	TZ
University of South Africa 	http://www.unisa.ac.za/	ZA
American University in Cairo 	http://www.aucegypt.edu/	EG
University of Nairobi 	http://www.uonbi.ac.ke/	KE
Mansoura University 	http://www.mans.edu.eg/	EG
University of Johannesburg 	http://www.uj.ac.za/	ZA
(1) Ain Shams University 	http://www.shams.edu.eg/	EG
University of Ghana 	http://www.ug.edu.gh/	GH
Assiut University 	http://www.aun.edu.eg/	EG
Université d'Antananarivo 	http://www.univ-antananarivo.mg/	MG
Maseno University 	http://maseno.ac.ke/	KE
North West University 	http://www.nwu.ac.za/	ZA
Auchi Polytechnic 	http://www.auchipoly.edu.ng/	NG
University of Ibadan 	http://www.ui.edu.ng/	NG
University of Lagos 	http://www.unilag.edu.ng/	NG
Nelson Mandela Metropolitan University 	http://www.nmmu.ac.za/	ZA
University of the Free State 	http://www.ufs.ac.za/	ZA
University of Khartoum 	http://www.uofk.edu/	SD
Al Azhar University 	http://www.azhar.edu.eg/	EG
Addis Ababa University 	http://www.aau.edu.et/	ET
University of Nigeria 	http://unn.edu.ng/	NG
Université Cheikh Anta Diop de Dakar 	http://www.ucad.sn/	SN
University of Zimbabwe 	http://www.uz.ac.zw/	ZW
Kwame Nkrumah University of Science & Technology 	http://www.knust.edu.gh/	GH
Misurata University (Misrata University) 	http://www.misuratau.edu.ly/	LY
Alexandria University 	http://www.alexu.edu.eg/	EG
Zagazig University 	http://www.zu.edu.eg/	EG
Université des Sciences et de la Technologie Houari Boumediene 	http://www.usthb.dz/	DZ
Jimma University 	http://www.ju.edu.et/	ET
El Asher University 	http://www.eau.edu.eg/	EG
University of Tanta 	http://www.tanta.edu.eg/	EG
Universidade Eduardo Mondlane 	http://www.uem.mz/	MZ
University of Botswana 	http://www.ub.bw/	BW
Cape Peninsula University of Technology 	http://www.cput.ac.za/	ZA
University of Agriculture Abeokuta 	http://www.unaab.edu.ng/	NG
Yaba College of Technology 	http://portal.yabatech.edu.ng/	NG
Tshwane University of Technology 	http://www.tut.ac.za/	ZA
Université Mentouri de Constantine 	http://www.umc.edu.dz/	DZ
Helwan University 	http://www.helwan.edu.eg/	EG
École Nationale d'Architecture Rabat 	http://www.archi.ac.ma/	MA
Université des Sciences et de la Technologie d'Oran Mohamed Boudiaf 	http://www.univ-usto.dz/	DZ
(1) Université Badji Mokhtar de Annaba 	http://www.univ-annaba.org/	DZ
Kenyatta University 	http://www.ku.ac.ke/	KE
University of Namibia 	http://www.unam.na/	NA
University of Zambia 	http://www.unza.zm/	ZM
Université de Bejaia 	http://www.univ-bejaia.dz/	DZ
Minia University 	http://www.minia.edu.eg/	EG
Libyan International Medical University  	http://limu.edu.ly/	LY
University of Mauritius 	http://www.uom.ac.mu/	MU
Suez Canal University 	http://www.scuegypt.edu.eg/	EG
Polytechnic of Namibia 	http://www.polytechnic.edu.na/	NA
Université Mohammed V Agdal 	http://www.um5a.ac.ma/	MA
Université Abou Bekr Belkaid Tlemcen 	http://www.univ-tlemcen.dz/	DZ
University of Malawi 	http://www.unima.mw/	MW
Université Djillali Liabes 	http://www.univ-sba.dz/	DZ
University of Fort Hare 	http://www.ufh.ac.za/	ZA
Université Virtuelle de Tunis 	http://www.uvt.rnu.tn/	TN
Institut Supérieur d'Eléctronique et des Réseaux de Télécommunication ISERT 	http://www.isert.co.ma/	MA
(1) University of Benin 	http://www.uniben.edu/	NG
Benha University 	http://www.bu.edu.eg/	EG
South Valley University 	http://www.svu.edu.eg/	EG
Université de Batna 	http://www.univ-batna.dz/	DZ
Université Abdelmalek Essaadi 	http://www.uae.ma/	MA
Ahmadu Bello University 	http://www.abu.edu.ng/	NG
Université Mohammed Premier Oujda 	http://webserver1.ump.ma/	MA
Minufiya University 	http://www.menofia.edu.eg/	EG
National University of Rwanda 	http://www.nur.ac.rw/	RW
Al Akhawayn University Ifrane 	http://www.aui.ma/	MA
Gulu University 	http://www.gu.ac.ug/	UG
Université Abdelhamid Ibn Badis Mostaganem 	http://www.univ-mosta.dz/	DZ
University of Ilorin 	http://www.unilorin.edu.ng/	NG
Université Hassan II Ain Chock 	http://www.uh2c.ac.ma/	MA
Fayoum University 	http://www.fayoum.edu.eg/	EG
Université d'Abomey-Calavi 	http://www.uac.bj/	BJ
Hubert Kairuki Memorial University 	http://www.hkmu.ac.tz/	TZ
Durban University of Technology 	http://www.dut.ac.za/	ZA
Moi University 	http://www.mu.ac.ke/	KE
Sokoine University of Agriculture 	http://www.suanet.ac.tz/	TZ
Université de Tunis El Manar 	http://www.utm.rnu.tn/	TN
German University in Cairo 	http://www.guc.edu.eg/	EG
Université de Sfax 	http://www.uss.rnu.tn/	TN
Université d'Oran 	http://www.univ-oran.dz/	DZ
University of Limpopo 	http://www.ul.ac.za/	ZA
Egerton University 	http://www.egerton.ac.ke/	KE
(1) Muhimbili University of Health and Allied Sciences 	http://www.muchs.ac.tz/	TZ
Jomo Kenyatta University of Agriculture and Technology 	http://www.jkuat.ac.ke/	KE
Université de Yaounde I 	http://www.uy1.uninet.cm/	CM
Kafrelsheikh University 	http://www.kfs.edu.eg/	EG
Université Saad Dahlab Blida 	http://www.univ-blida.dz/	DZ
Université Ferhat Abbas Setif 	http://www.univ-setif.dz/	DZ
University of Zululand 	http://www.uzulu.ac.za/	ZA
Al Azhar Al-Sharif Islamic Research Academy 	http://www.alazhar.gov.eg/	EG
Université Hassan II Mohammadia 	http://www.univh2m.ac.ma/	MA
(3) Université Mohammed V Agdal École Mohammadia d'Ingénieurs 	http://www.emi.ac.ma/	MA
Presbyterian University College 	http://www.presbyuniversity.edu.gh/	GH
Université Mouloud Mammeri de Tizi Ouzou 	http://www.ummto.dz/	DZ
Sudan University of Science & Technology 	http://www.sustech.edu/	SD
Université de Ouagadougou 	http://www.univ-ouaga.bf/	BF
Arab Academy for Science & Technology and Maritime Transport 	http://www.aast.edu/	EG
Université Sidi Mohammed Ben Abdellah Fes 	http://www.usmba.ac.ma/	MA
Université de Monastir 	http://www.um.rnu.tn/	TN
Joseph Ayo Babalola University 	http://www.jabu.edu.ng/	NG
Université Ibn Tofail Kénitra 	http://www.univ-ibntofail.ac.ma/	MA
École National Supérieure de l'Informatique (ex-INI) 	http://www.esi.dz/	DZ
British University in Egypt 	http://www.bue.edu.eg/	EG
Université Chouaib Eddoukali 	http://www.ucd.ac.ma/	MA
University of Swaziland 	http://www.uniswa.sz/	SZ
Université d'Alger 	http://www.univ-alger.dz/	DZ
Université Mohammed V Souissi 	http://www.um5s.ac.ma/	MA
University of Education Winneba 	http://www.uew.edu.gh/	GH
Université Hassiba Ben Bouali 	http://www.univ-chlef.dz/	DZ
(3) Makerere University Business School 	http://www.mubs.ac.ug/	UG
Eelo American University 	http://eelouniversity.org/	SO
Université M'Hamed Bougara de Boumerdes 	http://www.umbb.dz/	DZ
École Nationale Polytechnique d'Alger 	http://www.enp.edu.dz/	DZ
American University of Nigeria 	http://www.americanuniversitynigeria.org/	NG
Institut Agronomique et Veterinaire Hassan II 	http://www.iav.ac.ma/	MA
Afe Babalola University Ado Ekiti Ekiti State 	http://www.abuad.edu.ng/	NG
Strathmore University Nairobi 	http://www.strathmore.edu/	KE
Walter Sisulu University 	http://www.wsu.ac.za/	ZA
Integrated Thebes Academy for Science 	http://www.thebesacademy.org/	EG
University of Venda 	http://www.univen.ac.za/	ZA
Université Mohamed Khider Biskra 	http://www.univ-biskra.dz/	DZ
Mbarara University of Science & Technology 	http://www.must.ac.ug/	UG
Université de Jijel 	http://www.univ-jijel.dz/	DZ
Vaal University of Technology 	http://www.vut.ac.za/	ZA
University of Cape Coast 	http://www.ucc.edu.gh/	GH
Federal University of Technology Akure 	http://www.futa.edu.ng/	NG
Sohag University 	http://www.sohag-univ.edu.eg/	EG
National University of Science & Technology 	http://www.nust.ac.zw/	ZW
National University of Lesotho 	http://www.nul.ls/	LS
